Tit-for-tat,Bully,Fictitious Play,MaxiMin,Random,Our Algorithm,
4.0,4.0,1.95,1.95,1.44,4.0,
4.0,4.0,3.72,-3.0,0.01,4.0,
2.01,3.96,2.0,2.0,2.44,2.01,
2.01,3.0,2.0,2.0,2.47,2.01,
1.43,3.48,-0.65,-0.45,2.44,1.78,
4.0,4.0,1.95,1.95,1.75,4.0,
