Tit-for-tat,Bully,Fictitious Play,MaxiMin,Random,Our Algorithm,
3.0,0.99,1.02,0.99,2.21,1.39,
1.04,1.0,1.0,1.0,2.84,1.04,
1.07,1.0,1.0,1.0,2.96,1.07,
1.04,1.0,1.0,1.0,2.84,1.04,
2.33,0.61,0.42,0.52,2.25,2.45,
1.44,0.99,1.02,0.99,2.23,1.4,
